Filename,Standard,Passage,Tier,LLM,Iteration,Temperature,Elapsed Time (secs),Input Tokens,Output Tokens,Total Tokens
 RL 8.4 28914.txt, RL 8.4,,4a,GPT,1,0.7,,,,
 RL 8.4 44272.txt, RL 8.4,,4a,GPT,2,0.8,,,,
 RL 8.4 49698.txt, RL 8.4,,4a,Claude,1,0.7,,,,
 RL 8.4 96479.txt, RL 8.4,,4a,Claude,2,0.8,,,,
 RL 8.4 32044.txt, RL 8.4,,4a,Gemini,1,0.7,,,,
 RL 8.4 49295.txt, RL 8.4,,4a,Gemini,2,0.8,,,,
 RL 8.4 52325.txt, RL 8.4,,2b,GPT,1,0.7,,,,
 RL 8.4 19762.txt, RL 8.4,,2b,GPT,2,0.8,,,,
 RL 8.4 72771.txt, RL 8.4,,2b,Claude,1,0.7,,,,
 RL 8.4 91966.txt, RL 8.4,,2b,Claude,2,0.8,,,,
 RL 8.4 12216.txt, RL 8.4,,2b,Gemini,1,0.7,,,,
 RL 8.4 47910.txt, RL 8.4,,2b,Gemini,2,0.8,,,,
 RL 8.4 10583.txt, RL 8.4,,6b,GPT,1,0.7,,,,
 RL 8.4 97492.txt, RL 8.4,,6b,GPT,2,0.8,,,,
 RL 8.4 89739.txt, RL 8.4,,6b,Claude,1,0.7,,,,
 RL 8.4 49581.txt, RL 8.4,,6b,Claude,2,0.8,,,,
 RL 8.4 88625.txt, RL 8.4,,6b,Gemini,1,0.7,,,,
 RL 8.4 53548.txt, RL 8.4,,6b,Gemini,2,0.8,,,,
 RL 8.4 16501.txt, RL 8.4,,3b,GPT,1,0.7,,,,
 RL 8.4 59811.txt, RL 8.4,,3b,GPT,2,0.8,,,,
 RL 8.4 74874.txt, RL 8.4,,3b,Claude,1,0.7,,,,
 RL 8.4 27046.txt, RL 8.4,,3b,Claude,2,0.8,,,,
 RL 8.4 93531.txt, RL 8.4,,3b,Gemini,1,0.7,,,,
 RL 8.4 82216.txt, RL 8.4,,3b,Gemini,2,0.8,,,,
 RL 8.4 22811.txt, RL 8.4,,5a,GPT,1,0.7,,,,
 RL 8.4 31292.txt, RL 8.4,,5a,GPT,2,0.8,,,,
 RL 8.4 98470.txt, RL 8.4,,5a,Claude,1,0.7,,,,
 RL 8.4 72284.txt, RL 8.4,,5a,Claude,2,0.8,,,,
 RL 8.4 68550.txt, RL 8.4,,5a,Gemini,1,0.7,,,,
 RL 8.4 81612.txt, RL 8.4,,5a,Gemini,2,0.8,,,,
 RL 8.4 12754.txt, RL 8.4,,7b,GPT,1,0.7,,,,
 RL 8.4 88946.txt, RL 8.4,,7b,GPT,2,0.8,,,,
 RL 8.4 69783.txt, RL 8.4,,7b,Claude,1,0.7,,,,
 RL 8.4 60665.txt, RL 8.4,,7b,Claude,2,0.8,,,,
 RL 8.4 54653.txt, RL 8.4,,7b,Gemini,1,0.7,,,,
 RL 8.4 89853.txt, RL 8.4,,7b,Gemini,2,0.8,,,,
 RL 8.4 40386.txt, RL 8.4,,6a,GPT,1,0.7,,,,
 RL 8.4 28572.txt, RL 8.4,,6a,GPT,2,0.8,,,,
 RL 8.4 36158.txt, RL 8.4,,6a,Claude,1,0.7,,,,
 RL 8.4 84760.txt, RL 8.4,,6a,Claude,2,0.8,,,,
 RL 8.4 13300.txt, RL 8.4,,6a,Gemini,1,0.7,,,,
 RL 8.4 60425.txt, RL 8.4,,6a,Gemini,2,0.8,,,,
 RL 8.4 20273.txt, RL 8.4,,2a,GPT,1,0.7,,,,
 RL 8.4 85743.txt, RL 8.4,,2a,GPT,2,0.8,,,,
 RL 8.4 96082.txt, RL 8.4,,2a,Claude,1,0.7,,,,
 RL 8.4 94217.txt, RL 8.4,,2a,Claude,2,0.8,,,,
 RL 8.4 53484.txt, RL 8.4,,2a,Gemini,1,0.7,,,,
 RL 8.4 27545.txt, RL 8.4,,2a,Gemini,2,0.8,,,,
 RL 8.4 91035.txt, RL 8.4,,4b,GPT,1,0.7,,,,
 RL 8.4 18316.txt, RL 8.4,,4b,GPT,2,0.8,,,,
 RL 8.4 95305.txt, RL 8.4,,4b,Claude,1,0.7,,,,
 RL 8.4 58469.txt, RL 8.4,,4b,Claude,2,0.8,,,,
 RL 8.4 91278.txt, RL 8.4,,4b,Gemini,1,0.7,,,,
 RL 8.4 14522.txt, RL 8.4,,4b,Gemini,2,0.8,,,,
 RL 8.4 48415.txt, RL 8.4,,7a,GPT,1,0.7,,,,
 RL 8.4 14587.txt, RL 8.4,,7a,GPT,2,0.8,,,,
 RL 8.4 66405.txt, RL 8.4,,7a,Claude,1,0.7,,,,
 RL 8.4 12792.txt, RL 8.4,,7a,Claude,2,0.8,,,,
 RL 8.4 15077.txt, RL 8.4,,7a,Gemini,1,0.7,,,,
 RL 8.4 65958.txt, RL 8.4,,7a,Gemini,2,0.8,,,,
 RL 8.4 69930.txt, RL 8.4,,5b,GPT,1,0.7,,,,
 RL 8.4 27673.txt, RL 8.4,,5b,GPT,2,0.8,,,,
 RL 8.4 13162.txt, RL 8.4,,5b,Claude,1,0.7,,,,
 RL 8.4 88151.txt, RL 8.4,,5b,Claude,2,0.8,,,,
 RL 8.4 42350.txt, RL 8.4,,5b,Gemini,1,0.7,,,,
 RL 8.4 88547.txt, RL 8.4,,5b,Gemini,2,0.8,,,,
 RL 8.4 74589.txt, RL 8.4,,3a,GPT,1,0.7,,,,
 RL 8.4 91041.txt, RL 8.4,,3a,GPT,2,0.8,,,,
 RL 8.4 53968.txt, RL 8.4,,3a,Claude,1,0.7,,,,
 RL 8.4 23854.txt, RL 8.4,,3a,Claude,2,0.8,,,,
 RL 8.4 49839.txt, RL 8.4,,3a,Gemini,1,0.7,,,,
 RL 8.4 28783.txt, RL 8.4,,3a,Gemini,2,0.8,,,,
